_0_Squad,_0_# Pl,_0_90s,Tackles_1_Tkl,Tackles_1_TklW,Tackles_1_Def 3rd,Tackles_1_Mid 3rd,Tackles_1_Att 3rd,Challenges_2_Tkl,Challenges_2_Att,Challenges_2_Tkl%,Challenges_2_Lost,Blocks_3_Blocks,Blocks_3_Sh,Blocks_3_Pass,_4_Int,_4_Tkl+Int,_4_Clr,_4_Err
Arsenal,23,15.0,234,127,94,98,42,117,216,54.2,99,178,42,136,114,348,170,10
Aston Villa,24,14.0,215,125,108,88,19,100,224,44.6,124,134,37,97,100,315,202,4
Bournemouth,25,14.0,265,152,127,102,36,123,253,48.6,130,181,58,123,117,382,274,8
Brentford,26,14.0,225,141,118,83,24,99,225,44.0,126,159,41,118,120,345,349,5
Brighton,27,14.0,220,131,104,88,28,98,239,41.0,141,149,47,102,114,334,221,6
Burnley,26,15.0,217,128,98,79,40,113,231,48.9,118,167,61,106,109,326,296,9
Chelsea,24,14.0,239,141,116,82,41,112,227,49.3,115,144,49,95,112,351,240,4
Crystal Palace,22,14.0,276,150,138,96,42,111,217,51.2,106,148,47,101,124,400,352,3
Everton,23,14.0,277,161,140,96,41,121,247,49.0,126,178,52,126,130,407,287,5
Fulham,23,14.0,247,133,121,86,40,117,240,48.8,123,158,35,123,163,410,261,7
Liverpool,23,14.0,212,129,93,82,37,108,277,39.0,169,173,47,126,113,325,260,8
Luton Town,23,15.0,268,155,147,91,30,136,245,55.5,109,193,67,126,135,403,400,6
Manchester City,25,14.0,190,115,83,74,33,92,168,54.8,76,131,27,104,97,287,164,8
Manchester Utd,26,14.0,231,133,112,85,34,115,253,45.5,138,176,60,116,95,326,296,3
Newcastle Utd,30,14.0,225,146,107,94,24,106,248,42.7,142,170,52,118,92,317,205,5
Nott'ham Forest,28,14.0,261,151,166,75,20,112,208,53.8,96,172,65,107,132,393,388,5
Sheffield Utd,27,14.0,268,147,125,99,44,105,250,42.0,145,212,65,147,129,397,371,8
Tottenham,25,14.0,276,173,138,97,41,136,279,48.7,143,170,55,115,116,392,296,8
West Ham,21,14.0,237,152,121,91,25,105,202,52.0,97,185,64,121,134,371,341,4
Wolves,23,15.0,284,170,169,87,28,119,223,53.4,104,195,68,127,126,410,321,6
