_0_Squad,_0_# Pl,PlayingTime_1_MP,PlayingTime_1_Starts,PlayingTime_1_Min,PlayingTime_1_90s,Performance_2_GA,Performance_2_GA90,Performance_2_SoTA,Performance_2_Saves,Performance_2_Save%,Performance_2_W,Performance_2_D,Performance_2_L,Performance_2_CS,Performance_2_CS%,PenaltyKicks_3_PKatt,PenaltyKicks_3_PKA,PenaltyKicks_3_PKsv,PenaltyKicks_3_PKm,PenaltyKicks_3_Save%
Arsenal,2,15,15,"1,350",15.0,14,0.93,35,21,62.9,11,3,1,6,40.0,1,1,0,0,0.0
Aston Villa,2,14,14,"1,260",14.0,20,1.43,60,42,66.7,9,2,3,2,14.3,0,0,0,0,
Bournemouth,2,14,14,"1,260",14.0,30,2.14,79,49,64.6,3,4,7,2,14.3,3,2,1,0,33.3
Brentford,2,14,14,"1,260",14.0,19,1.36,55,36,67.3,5,4,5,3,21.4,1,1,0,0,0.0
Brighton,2,14,14,"1,260",14.0,26,1.86,61,37,63.9,6,4,4,0,0.0,4,4,0,0,0.0
Burnley,1,15,15,"1,350",15.0,33,2.20,81,50,61.7,2,1,12,1,6.7,2,2,0,0,0.0
Chelsea,1,14,14,"1,260",14.0,22,1.57,65,43,69.2,5,4,5,3,21.4,2,2,0,0,0.0
Crystal Palace,1,14,14,"1,260",14.0,19,1.36,50,32,66.0,4,4,6,5,35.7,2,2,0,0,0.0
Everton,1,14,14,"1,260",14.0,20,1.43,49,31,67.3,5,2,7,3,21.4,4,4,0,0,0.0
Fulham,1,14,14,"1,260",14.0,26,1.86,83,60,73.5,4,3,7,3,21.4,4,4,0,0,0.0
Liverpool,2,14,14,"1,260",14.0,14,1.00,57,44,75.4,9,4,1,4,28.6,0,0,0,0,
Luton Town,1,15,15,"1,350",15.0,30,2.00,87,58,66.7,2,3,10,0,0.0,1,1,0,0,0.0
Manchester City,2,14,14,"1,260",14.0,16,1.14,39,24,61.5,9,3,2,4,28.6,1,1,0,0,0.0
Manchester Utd,1,14,14,"1,260",14.0,17,1.21,70,54,78.6,8,0,6,5,35.7,2,2,0,0,0.0
Newcastle Utd,2,14,14,"1,260",14.0,14,1.00,53,39,73.6,8,2,4,6,42.9,0,0,0,0,
Nott'ham Forest,2,14,14,"1,260",14.0,22,1.57,61,39,67.2,3,4,7,3,21.4,2,2,0,0,0.0
Sheffield Utd,1,14,14,"1,260",14.0,39,2.79,105,67,63.8,1,2,11,0,0.0,2,1,0,1,0.0
Tottenham,1,14,14,"1,260",14.0,20,1.43,61,43,72.1,8,3,3,4,28.6,3,3,0,0,0.0
West Ham,1,14,14,"1,260",14.0,24,1.71,72,48,70.8,6,3,5,1,7.1,4,3,1,0,25.0
Wolves,2,15,15,"1,350",15.0,25,1.67,75,51,73.3,5,3,7,2,13.3,5,5,0,0,0.0
