_0_Squad,_0_# Pl,_0_90s,Total_1_Cmp,Total_1_Att,Total_1_Cmp%,Total_1_TotDist,Total_1_PrgDist,Short_2_Cmp,Short_2_Att,Short_2_Cmp%,Medium_3_Cmp,Medium_3_Att,Medium_3_Cmp%,Long_4_Cmp,Long_4_Att,Long_4_Cmp%,_5_Ast,_5_xAG,Expected_6_xA,Expected_6_A-xAG,_7_KP,_7_1/3,_7_PPA,_7_CrsPA,_7_PrgP
Arsenal,23,15.0,7801,9197,84.8,133261,41340,3574,3948,90.5,3509,3890,90.2,567,983,57.7,21,18.8,18.8,+2.2,178,662,187,30,807
Aston Villa,24,14.0,6080,7268,83.7,106167,36202,2680,2976,90.1,2777,3117,89.1,512,873,58.6,22,18.7,16.8,+3.3,160,500,143,30,568
Bournemouth,25,14.0,4435,5849,75.8,80819,29289,1899,2194,86.6,1949,2292,85.0,480,1035,46.4,10,13.0,11.7,-3.0,127,339,114,24,421
Brentford,26,14.0,5163,6653,77.6,92487,33704,2253,2607,86.4,2281,2714,84.0,520,1012,51.4,14,18.8,17.1,-4.8,138,368,116,31,523
Brighton,27,14.0,7946,9116,87.2,127780,41898,4025,4346,92.6,3159,3495,90.4,524,824,63.6,22,18.1,17.1,+3.9,160,507,135,26,674
Burnley,26,15.0,6251,7795,80.2,109478,35235,2822,3177,88.8,2755,3153,87.4,557,1092,51.0,12,10.6,10.5,+1.4,123,373,76,15,469
Chelsea,24,14.0,7139,8362,85.4,117447,38912,3546,3850,92.1,2855,3191,89.5,536,873,61.4,14,17.0,15.2,-3.0,129,507,135,17,569
Crystal Palace,22,14.0,4998,6393,78.2,89061,32877,2259,2600,86.9,2163,2499,86.6,474,973,48.7,11,13.5,11.1,-2.5,128,404,96,23,446
Everton,23,14.0,4206,5774,72.8,75821,32278,1990,2314,86.0,1582,1970,80.3,516,1122,46.0,7,15.0,11.4,-8.0,133,332,106,28,425
Fulham,23,14.0,5849,7254,80.6,104663,35303,2532,2862,88.5,2579,2946,87.5,596,1049,56.8,7,10.8,10.2,-3.8,112,427,107,27,506
Liverpool,23,14.0,7200,8578,83.9,123594,43338,3346,3686,90.8,3067,3465,88.5,620,1025,60.5,20,20.7,17.4,-0.7,186,542,158,21,736
Luton Town,23,15.0,3526,5190,67.9,67048,29281,1567,1897,82.6,1360,1750,77.7,489,1168,41.9,10,9.9,10.7,+0.1,116,297,89,34,402
Manchester City,25,14.0,8316,9428,88.2,140878,40460,3956,4222,93.7,3493,3803,91.8,673,998,67.4,27,22.2,22.2,+4.8,189,646,164,22,699
Manchester Utd,26,14.0,6108,7568,80.7,102812,33378,2958,3350,88.3,2363,2756,85.7,570,1023,55.7,12,15.5,14.2,-3.5,153,522,143,23,628
Newcastle Utd,30,14.0,6335,7634,83.0,107405,36089,3015,3344,90.2,2638,3011,87.6,535,923,58.0,21,18.3,15.4,+2.7,143,405,128,24,569
Nott'ham Forest,28,14.0,4516,5948,75.9,80627,31965,2044,2397,85.3,1848,2255,82.0,494,958,51.6,13,10.9,9.7,+2.1,114,312,88,25,409
Sheffield Utd,27,14.0,3828,5365,71.4,66696,28027,1868,2214,84.4,1423,1795,79.3,416,1006,41.4,4,5.9,6.2,-1.9,82,267,76,18,335
Tottenham,25,14.0,7348,8561,85.8,116342,39481,3800,4108,92.5,2903,3227,90.0,407,721,56.4,23,19.0,18.7,+4.0,169,554,148,16,721
West Ham,21,14.0,4903,6359,77.1,87061,33321,2250,2543,88.5,1966,2342,83.9,534,1056,50.6,19,14.9,14.3,+4.1,125,366,93,27,473
Wolves,23,15.0,5692,7152,79.6,95109,33186,2850,3196,89.2,2216,2576,86.0,471,989,47.6,17,14.7,12.6,+2.3,128,337,94,25,435
