_0_Squad,_0_# Pl,_0_Poss,_0_90s,Touches_1_Touches,Touches_1_Def Pen,Touches_1_Def 3rd,Touches_1_Mid 3rd,Touches_1_Att 3rd,Touches_1_Att Pen,Touches_1_Live,Take-Ons_2_Att,Take-Ons_2_Succ,Take-Ons_2_Succ%,Take-Ons_2_Tkld,Take-Ons_2_Tkld%,Carries_3_Carries,Carries_3_TotDist,Carries_3_PrgDist,Carries_3_PrgC,Carries_3_1/3,Carries_3_CPA,Carries_3_Mis,Carries_3_Dis,Receiving_4_Rec,Receiving_4_PrgR
Arsenal,23,61.0,15.0,10645,768,2729,4587,3399,518,10639,263,112,42.6,119,45.2,6831,32787,16564,307,198,108,184,150,7720,797
Aston Villa,24,53.2,14.0,8651,975,2881,3829,2025,396,8648,286,124,43.4,114,39.9,5522,29777,16024,289,181,79,178,131,5961,562
Bournemouth,25,43.4,14.0,7538,956,2652,3136,1858,335,7538,321,152,47.4,134,41.7,4131,24776,12612,233,184,67,220,160,4383,415
Brentford,26,48.2,14.0,8233,1129,3106,3258,1942,406,8231,203,90,44.3,82,40.4,4483,22524,11805,198,139,66,194,98,5104,520
Brighton,27,61.3,14.0,10606,1132,3429,4922,2327,411,10604,294,118,40.1,137,46.6,7059,35129,18547,337,199,111,204,125,7840,668
Burnley,26,50.7,15.0,9365,1177,3362,3982,2089,303,9364,289,115,39.8,137,47.4,5528,28340,14690,265,174,89,193,118,6182,460
Chelsea,24,57.2,14.0,9877,1031,3250,4199,2513,414,9871,307,137,44.6,128,41.7,6346,30626,16019,330,205,104,224,140,7086,565
Crystal Palace,22,45.0,14.0,8089,895,2739,3538,1892,295,8088,274,138,50.4,107,39.1,4396,21520,11003,196,139,55,221,169,4955,439
Everton,23,40.7,14.0,7423,853,2353,3137,1998,297,7423,203,94,46.3,92,45.3,3753,19990,10051,199,167,51,215,130,4162,421
Fulham,23,48.8,14.0,8766,914,3012,3864,1981,253,8764,203,100,49.3,87,42.9,5131,27276,13754,226,177,55,199,134,5793,501
Liverpool,23,57.4,14.0,10164,913,2920,4757,2568,433,10160,267,113,42.3,135,50.6,6210,31091,16860,320,240,90,209,130,7156,732
Luton Town,23,36.0,15.0,7051,1016,2619,2729,1791,301,7049,259,116,44.8,115,44.4,3240,19680,9682,225,142,66,225,121,3484,395
Manchester City,25,61.7,14.0,10714,820,2655,5013,3117,457,10710,259,144,55.6,84,32.4,7100,37540,20784,397,281,130,167,101,8208,692
Manchester Utd,26,53.1,14.0,9105,970,2905,3761,2520,365,9103,255,113,44.3,103,40.4,5507,28372,15190,276,191,98,186,127,6029,622
Newcastle Utd,30,53.5,14.0,9068,788,2842,4147,2162,369,9065,254,130,51.2,87,34.3,5337,27696,13144,266,198,89,192,157,6291,566
Nott'ham Forest,28,41.1,14.0,7603,980,2926,3085,1665,300,7602,212,92,43.4,99,46.7,3802,20028,10839,209,150,56,187,99,4480,401
Sheffield Utd,27,38.6,14.0,7027,1016,2740,2843,1497,244,7025,207,78,37.7,109,52.7,3273,15344,6958,114,98,40,185,121,3799,332
Tottenham,25,58.6,14.0,10234,1098,3345,4344,2653,477,10234,338,146,43.2,152,45.0,6503,32806,16499,334,213,132,194,127,7290,716
West Ham,21,43.6,14.0,7958,961,2782,3543,1704,310,7957,241,126,52.3,87,36.1,4465,23589,11079,211,144,64,187,135,4855,464
Wolves,23,47.2,15.0,8888,1106,3403,3776,1826,308,8887,363,185,51.0,139,38.3,5204,28841,14694,270,207,73,238,150,5641,427
