_0_Squad,_0_# Pl,_0_90s,Standard_1_Gls,Standard_1_Sh,Standard_1_SoT,Standard_1_SoT%,Standard_1_Sh/90,Standard_1_SoT/90,Standard_1_G/Sh,Standard_1_G/SoT,Standard_1_Dist,Standard_1_FK,Standard_1_PK,Standard_1_PKatt,Expected_2_xG,Expected_2_npxG,Expected_2_npxG/Sh,Expected_2_G-xG,Expected_2_np:G-xG
Arsenal,23,15.0,32,225,74,32.9,15.00,4.93,0.12,0.35,16.2,0,6,6,27.6,23.1,0.11,+4.4,+2.9
Aston Villa,24,14.0,30,202,74,36.6,14.43,5.29,0.13,0.36,16.1,5,3,3,25.9,23.6,0.12,+4.1,+3.4
Bournemouth,25,14.0,16,176,68,38.6,12.57,4.86,0.09,0.24,16.6,6,0,0,18.7,18.7,0.11,-2.7,-2.7
Brentford,26,14.0,21,209,58,27.8,14.93,4.14,0.09,0.33,14.7,7,2,2,26.4,25.0,0.12,-5.4,-6.0
Brighton,27,14.0,28,199,83,41.7,14.21,5.93,0.13,0.31,17.3,7,2,2,23.4,21.8,0.11,+4.6,+4.2
Burnley,26,15.0,15,163,51,31.3,10.87,3.40,0.09,0.27,17.5,4,1,1,13.8,13.1,0.08,+1.2,+0.9
Chelsea,24,14.0,24,182,62,34.1,13.00,4.43,0.10,0.31,17.1,10,5,6,27.8,23.1,0.13,-3.8,-4.1
Crystal Palace,22,14.0,14,169,57,33.7,12.07,4.07,0.08,0.23,16.7,8,1,1,16.7,15.9,0.10,-2.7,-2.9
Everton,23,14.0,15,203,64,31.5,14.50,4.57,0.07,0.23,16.7,4,0,0,20.9,20.9,0.11,-5.9,-5.9
Fulham,23,14.0,15,152,51,33.6,10.86,3.64,0.09,0.25,18.1,5,2,2,16.4,14.9,0.10,-1.4,-1.9
Liverpool,23,14.0,29,247,80,32.4,17.64,5.71,0.11,0.33,18.1,8,3,4,29.2,25.9,0.11,-0.2,+0.1
Luton Town,23,15.0,15,159,37,23.3,10.60,2.47,0.08,0.35,16.3,2,2,2,14.6,13.0,0.08,+0.4,0.0
Manchester City,25,14.0,35,227,90,39.6,16.21,6.43,0.14,0.36,16.6,11,3,4,28.3,25.2,0.11,+6.7,+6.8
Manchester Utd,26,14.0,16,193,58,30.1,13.79,4.14,0.07,0.24,17.0,6,2,2,20.2,18.6,0.10,-4.2,-4.6
Newcastle Utd,30,14.0,32,190,73,38.4,13.57,5.21,0.15,0.40,15.8,3,3,3,28.1,25.7,0.14,+3.9,+3.3
Nott'ham Forest,28,14.0,16,157,49,31.2,11.21,3.50,0.10,0.31,16.0,1,1,1,15.8,15.0,0.10,+0.2,0.0
Sheffield Utd,27,14.0,8,119,34,28.6,8.50,2.43,0.05,0.18,18.7,1,2,2,10.8,9.2,0.08,-2.8,-3.2
Tottenham,25,14.0,25,218,80,36.7,15.57,5.71,0.11,0.31,17.6,4,0,0,22.0,22.0,0.10,+3.0,+3.0
West Ham,21,14.0,23,164,55,33.5,11.71,3.93,0.13,0.40,15.2,5,1,1,19.6,18.8,0.12,+3.4,+3.2
Wolves,23,15.0,19,168,58,34.5,11.20,3.87,0.11,0.31,16.3,4,1,1,19.2,18.4,0.12,-0.2,-0.4
