_0_Squad,_0_# Pl,_0_Age,_0_Poss,PlayingTime_1_MP,PlayingTime_1_Starts,PlayingTime_1_Min,PlayingTime_1_90s,Performance_2_Gls,Performance_2_Ast,Performance_2_G+A,Performance_2_G-PK,Performance_2_PK,Performance_2_PKatt,Performance_2_CrdY,Performance_2_CrdR,Expected_3_xG,Expected_3_npxG,Expected_3_xAG,Expected_3_npxG+xAG,Progression_4_PrgC,Progression_4_PrgP,Per90Minutes_5_Gls,Per90Minutes_5_Ast,Per90Minutes_5_G+A,Per90Minutes_5_G-PK,Per90Minutes_5_G+A-PK,Per90Minutes_5_xG,Per90Minutes_5_xAG,Per90Minutes_5_xG+xAG,Per90Minutes_5_npxG,Per90Minutes_5_npxG+xAG
Arsenal,23,25.2,61.0,15,165,"1,350",15.0,32,21,53,26,6,6,21,2,27.6,23.1,18.8,41.9,307,807,2.13,1.40,3.53,1.73,3.13,1.84,1.25,3.09,1.54,2.79
Aston Villa,24,27.2,53.2,14,154,"1,260",14.0,30,22,52,27,3,3,35,0,25.9,23.6,18.7,42.4,289,568,2.14,1.57,3.71,1.93,3.50,1.85,1.34,3.19,1.69,3.03
Bournemouth,25,25.9,43.4,14,154,"1,260",14.0,16,10,26,16,0,0,26,1,18.7,18.7,13.0,31.7,233,421,1.14,0.71,1.86,1.14,1.86,1.34,0.93,2.27,1.34,2.27
Brentford,26,26.8,48.2,14,154,"1,260",14.0,21,14,35,19,2,2,32,0,26.4,25.0,18.8,43.9,198,523,1.50,1.00,2.50,1.36,2.36,1.89,1.34,3.23,1.79,3.13
Brighton,27,27.0,61.3,14,154,"1,260",14.0,28,22,50,26,2,2,40,2,23.4,21.8,18.1,39.9,337,674,2.00,1.57,3.57,1.86,3.43,1.67,1.29,2.96,1.56,2.85
Burnley,26,25.3,50.7,15,165,"1,350",15.0,15,12,27,14,1,1,32,3,13.8,13.1,10.6,23.7,265,469,1.00,0.80,1.80,0.93,1.73,0.92,0.71,1.63,0.87,1.58
Chelsea,24,25.2,57.2,14,154,"1,260",14.0,24,14,38,19,5,6,51,3,27.8,23.1,17.0,40.1,330,569,1.71,1.00,2.71,1.36,2.36,1.99,1.22,3.20,1.65,2.87
Crystal Palace,22,27.7,45.0,14,154,"1,260",14.0,14,11,25,13,1,1,23,0,16.7,15.9,13.5,29.3,196,446,1.00,0.79,1.79,0.93,1.71,1.19,0.96,2.15,1.13,2.10
Everton,23,27.6,40.7,14,154,"1,260",14.0,15,7,22,15,0,0,28,1,20.9,20.9,15.0,36.0,199,425,1.07,0.50,1.57,1.07,1.57,1.50,1.07,2.57,1.50,2.57
Fulham,23,29.5,48.8,14,154,"1,260",14.0,15,7,22,13,2,2,37,2,16.4,14.9,10.8,25.7,226,506,1.07,0.50,1.57,0.93,1.43,1.17,0.77,1.95,1.06,1.83
Liverpool,23,27.3,57.4,14,154,"1,260",14.0,29,20,49,26,3,4,25,4,29.2,25.9,20.7,46.6,320,736,2.07,1.43,3.50,1.86,3.29,2.09,1.48,3.56,1.85,3.33
Luton Town,23,27.2,36.0,15,165,"1,350",15.0,15,10,25,13,2,2,30,0,14.6,13.0,9.9,22.9,225,402,1.00,0.67,1.67,0.87,1.53,0.97,0.66,1.63,0.87,1.53
Manchester City,25,26.8,61.7,14,154,"1,260",14.0,35,27,62,32,3,4,28,2,28.3,25.2,22.2,47.4,397,699,2.50,1.93,4.43,2.29,4.21,2.02,1.58,3.61,1.80,3.39
Manchester Utd,26,27.2,53.1,14,154,"1,260",14.0,16,12,28,14,2,2,28,0,20.2,18.6,15.5,34.1,276,628,1.14,0.86,2.00,1.00,1.86,1.44,1.11,2.55,1.33,2.44
Newcastle Utd,30,28.0,53.5,14,154,"1,260",14.0,32,21,53,29,3,3,38,0,28.1,25.7,18.3,44.1,266,569,2.29,1.50,3.79,2.07,3.57,2.01,1.31,3.32,1.84,3.15
Nott'ham Forest,28,26.6,41.1,14,154,"1,260",14.0,16,13,29,15,1,1,37,2,15.8,15.0,10.9,25.9,209,409,1.14,0.93,2.07,1.07,2.00,1.13,0.78,1.91,1.07,1.85
Sheffield Utd,27,26.9,38.6,14,154,"1,260",14.0,8,4,12,6,2,2,46,2,10.8,9.2,5.9,15.1,114,335,0.57,0.29,0.86,0.43,0.71,0.77,0.42,1.19,0.66,1.08
Tottenham,25,25.6,58.6,14,154,"1,260",14.0,25,23,48,25,0,0,42,3,22.0,22.0,19.0,41.0,334,721,1.79,1.64,3.43,1.79,3.43,1.57,1.36,2.93,1.57,2.93
West Ham,21,28.8,43.6,14,154,"1,260",14.0,23,19,42,22,1,1,37,1,19.6,18.8,14.9,33.7,211,473,1.64,1.36,3.00,1.57,2.93,1.40,1.06,2.46,1.35,2.41
Wolves,23,27.1,47.2,15,165,"1,350",15.0,19,17,36,18,1,1,47,3,19.2,18.4,14.7,33.1,270,435,1.27,1.13,2.40,1.20,2.33,1.28,0.98,2.26,1.23,2.21
